2018.06.13 21:22:41 EDT INFO  objectsdetection.Controller 101 runVideoStreamingOnPi - Check Pi to see if Video is Streaming
2018.06.13 21:22:44 EDT INFO  objectsdetection.Controller 107 runVideoStreamingOnPi - Pi is not video streaming; Trying to start.
2018.06.13 21:22:46 EDT INFO  objectsdetection.Controller 56 createAndRunVideoStreaming - Starting Video Streaming ...
2018.06.13 21:22:46 EDT INFO  objectsdetection.Controller 77 createAndRunProducer - Starting Producer ...
2018.06.13 21:22:46 EDT INFO  objectsdetection.videostreamingsplitting.VideoStreamingAndSplittingWindows 46 generateCommand - C:\Program Files\VideoLAN\VLC\vlc.exe rtsp://192.168.0.103:8554/ --video-filter scene --scene-format jpg --scene-prefix t --scene-path C:\Users\wenbo\Desktop\videostreaming --no-scene-replace --scene-ratio 1
2018.06.13 21:22:46 EDT INFO  objectsdetection.Controller 88 createAndRunConsumer - Starting Consumer ...
2018.06.13 21:22:49 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00001.jpg 

2018.06.13 21:22:49 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00002.jpg 

2018.06.13 21:22:50 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00003.jpg 

2018.06.13 21:22:50 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00004.jpg 

2018.06.13 21:22:50 EDT INFO  objectsdetection.Producer 87 watchAndLoadImageDirectory - Putting New ENTRY_CREATE 1 t00005.jpg 

2018.06.13 21:22:50 EDT INFO  objectsdetection.Consumer 102 run - StartIndex 0, EndIndex 1, RandomIndex 0 (File Name C:\Users\wenbo\Desktop\videostreaming\t00001.jpg), ListSize 5, eachPart 1 

2018.06.13 21:22:50 EDT INFO  objectsdetection.Consumer 102 run - StartIndex 1, EndIndex 2, RandomIndex 1 (File Name C:\Users\wenbo\Desktop\videostreaming\t00002.jpg), ListSize 5, eachPart 1 

2018.06.13 21:22:50 EDT INFO  objectsdetection.Consumer 102 run - StartIndex 2, EndIndex 3, RandomIndex 2 (File Name C:\Users\wenbo\Desktop\videostreaming\t00003.jpg), ListSize 5, eachPart 1 

2018.06.13 21:22:50 EDT INFO  objectsdetection.Consumer 102 run - StartIndex 3, EndIndex 4, RandomIndex 3 (File Name C:\Users\wenbo\Desktop\videostreaming\t00004.jpg), ListSize 5, eachPart 1 

